,precision,recall,f1_score,weight
NORM,0.8416422279162833,0.8749999991107723,0.8579970100358759,984
STTC,0.735234214388525,0.6378091861522805,0.6830652784455389,566
CD,0.7704918014742581,0.5721739120483932,0.6566866260911312,575
MI,0.7061994590129395,0.5586353932651698,0.6238095230668934,469
HYP,0.5555555523066927,0.3909465004487798,0.4589371969590889,243
NoC,no data,no data,no data,no data
micro avg,0.672541416989778,0.672541416989778,0.672541416989778,2837
macro avg,0.7218246510197398,0.6069129982050792,0.6560991269197056,2837
weighted avg,0.759097232622073,0.6725414159201392,0.7093997957903804,2837
