model_name,index,batch_size,optimizer,learning_rate,time_start,time_end,train_loss,train_accuracy,train_precision_macro_avg,train_recall_macro_avg,train_f1_score_macro_avg,val_loss,val_accuracy,val_precision_macro_avg,val_recall_macro_avg,val_f1_score_macro_avg,test_loss,test_accuracy,test_precision_macro_avg,test_recall_macro_avg,test_f1_score_macro_avg
rajpurkar,0,16,sgd,0.001,2025-03-29T16:47:03.512962,2025-03-29T16:59:01.164241,0.4008224010467529,0.6780649423599243,0.7391820536989442,0.4808597345615519,0.5316384572367608,0.4265778362751007,0.667158305644989,0.7390682405602919,0.456150984317229,0.5050412960414276,0.4513672590255737,0.6507316827774048,0.7234403980544085,0.4358615730399258,0.4825418478941898
ribeiro,1,16,sgd,0.001,2025-03-29T16:59:19.515562,2025-03-29T17:11:33.049075,0.2733262777328491,0.7635827660560608,0.8025156964724222,0.611448624345551,0.6677977576469216,0.3181981146335602,0.7394297122955322,0.7587832254132583,0.568820567313687,0.6218407757193969,0.3281575441360473,0.740487813949585,0.7487807389280732,0.5488743787529798,0.6022682757121995
ahmed,2,16,sgd,0.001,2025-03-29T17:11:43.471662,2025-03-29T17:15:49.557251,0.2414305508136749,0.7855607867240906,0.8474255601547739,0.6509170669281177,0.7138755189776637,0.322612851858139,0.7433628439903259,0.7646679718054782,0.5787127238602787,0.6338512028328867,0.3335985839366913,0.7434146404266357,0.7646924563523001,0.5655483086528273,0.6219726763670014
baloglu,3,16,sgd,0.001,2025-03-29T17:15:58.226389,2025-03-29T17:21:28.897386,0.3148077130317688,0.7295721173286438,0.7227338996794141,0.5431258004670442,0.6090309296095926,0.3304511606693268,0.7202556729316711,0.6881468340296382,0.5163105223686808,0.578766586035566,0.3442294597625732,0.6990243792533875,0.6750339010139772,0.491827775795674,0.5553193136322618
rajpurkar,4,16,sgd,0.01,2025-03-29T17:21:36.822880,2025-03-29T17:29:26.607491,0.274977296590805,0.7635213732719421,0.8207081319730996,0.6013516003760787,0.6305924797420294,0.3279910981655121,0.7227138876914978,0.7855607469733148,0.5586535032968822,0.5837033950050091,0.3308960795402527,0.730731725692749,0.7696015557751374,0.5529229918929514,0.5800773012134275
ribeiro,5,16,sgd,0.01,2025-03-29T17:29:43.107258,2025-03-29T17:33:01.853179,0.2432148903608322,0.7926821708679199,0.8051449741237148,0.6514400800612284,0.7057939992877731,0.3078967928886413,0.7654867172241211,0.7688687741393639,0.6027289276515251,0.6549517214379937,0.3098828196525574,0.7575609683990479,0.7355067299327327,0.587310512300202,0.6344728629447371
ahmed,6,16,sgd,0.01,2025-03-29T17:33:12.152447,2025-03-29T17:34:57.199769,0.2254071831703186,0.7820001244544983,0.8186520368734541,0.6785642939412382,0.7323938216268537,0.2953212857246399,0.7497541904449463,0.7398021434212142,0.5949919137670444,0.6457741740226168,0.2988839149475097,0.7365853786468506,0.7315691698574707,0.5885515461041839,0.6386888131858199
baloglu,7,16,sgd,0.01,2025-03-29T17:35:05.747223,2025-03-29T17:37:45.568369,0.2309179902076721,0.7708883285522461,0.8257686676841958,0.6713209538449939,0.7355994306882233,0.3027592897415161,0.737463116645813,0.7420986647280126,0.5840183386935205,0.6464687200368883,0.3127042353153229,0.7253658771514893,0.7204298575787562,0.5544544426775893,0.6165352948695818
rajpurkar,8,16,sgd,0.1,2025-03-29T17:37:53.358066,2025-03-29T17:46:13.749946,0.0971655622124672,0.8239916563034058,0.9264457665336184,0.8803622901357281,0.9004597755596656,0.3924981653690338,0.6991150379180908,0.6945035771043807,0.6064183372386065,0.6424164211615296,0.4207883775234222,0.7107316851615906,0.6719908106022319,0.5847699204317947,0.6191648626822622
ribeiro,9,16,sgd,0.1,2025-03-29T17:46:30.288009,2025-03-29T17:49:21.017445,0.1577613204717636,0.8226410746574402,0.851751013577559,0.76406081247416,0.7989004967609084,0.2952668666839599,0.7428711652755737,0.7112760309309597,0.619939006807215,0.6548281240343178,0.2987443804740906,0.7292683124542236,0.6933014782999811,0.5987853532202212,0.6341141680079357
