,precision,recall,f1_score,weight
NORM,0.8505303752646765,0.9055441469142257,0.8771755341237316,974
STTC,0.751503004506006,0.6708407859197839,0.7088846874207139,559
CD,0.7631578930632502,0.6094570917522643,0.6777020441307672,571
MI,0.6978417249452237,0.6126315776576178,0.6524663669815399,475
HYP,0.7063492007432604,0.3647540968657619,0.48108107978086195,244
NoC,no data,no data,no data,no data
micro avg,0.7031526744597946,0.7031526744597946,0.7031526744597946,2823
macro avg,0.7538764397044833,0.6326455398219307,0.6794619424875229,2823
weighted avg,0.775095269676268,0.7031526733392747,0.7314589746674188,2823
