,precision,recall,f1_score,weight
NORM,0.8331726125041728,0.8771573595155763,0.8545994061055393,985
STTC,0.7410358550975381,0.6572438150932088,0.6966292128308714,566
CD,0.7425531899094613,0.603806227329055,0.6660305337156196,578
MI,0.7321937301077102,0.5343035331927162,0.6177884607959273,481
HYP,0.5740740705304069,0.3858921145813605,0.46153846039320484,241
NoC,no data,no data,no data,no data
micro avg,0.6787092248333918,0.6787092248333918,0.6787092248333918,2851
macro avg,0.7246058916298578,0.6116806099423833,0.6593172147682325,2851
weighted avg,0.7575707107152304,0.6787092237606444,0.7118292587027223,2851
